#  RunNo  LumiNo        EvtNo
  198487    1581   1555235592
  198955     763    862442243
  198955     120    149444828
  198955     485    566576343
  198955     345    400536436
  199572      49     43103781
  198522     171    177317797
  199319     308    453537308
  198941     271    342821524
  198969     362    475927256
  198955     130    161728574
  198955     430    502234509
  198955     383    446237555
  198955     197    239122915
  198955     504    587663999
  198955     512    596584747
  198955     892    986618588
  198955    1274   1315635332
  199356     125     78002630
  198955    1353   1377998142
  198969     305    404864492
  198969     457    586745785
  198969    1053   1220277284
  198969     861   1022372095
  198969    1159   1323582665
  198969    1026   1193915987
  199008      85     62889585
  199008     394    498551792
  199008     447    562750061
  199008     189    222579371
  199008     309    389845215
  199008     421    531349990
  199008     255    316594398
  199008     520    643127496
  199008     547    673553096
  199008     462    580155541
  199021     187    217488707
  199021     459    564342664
  199021    1416   1542121837
  199021     624    743301427
  199021     704    830052496
  199021     660    781039444
  199021     707    833509698
  199021     621    740591985
  199021     961   1114548424
  199021     852    998051634
  199021    1317   1455607345
  199021    1186   1336009685
  199021    1252   1397685267
  199021    1255   1400343782
  199318      67     34015247
  199319      15     24523728
  199319     299    441801637
  199319     299    441484255
  199319      91    146413338
  199319     435    607956072
  199319     779    990584985
  199319     610    802671612
  199319     711    912187727
  199336     745    654009930
  199336     797    692812430
  199356     131     87939716
  199409     117    159839914
  199435     399    465432096
  199409     588    711256139
  199409     248    333963521
  199435      93     67433306
  199409     179    244814333
  199409     322    424619486
  199608    2190   2054391683
  199409     408    523001579
  199435     117    103016631
  199409     348    454612558
  199435     106     87562950
  199435     179    190611145
  199409     495    616831548
  199409     657    786062773
  199435     147    145932914
  199409     700    834809836
  199435     415    483436682
  199435     438    509741812
  199428      85     79613677
  199435     980   1090529176
  199571     520    539517217
  199571     204    226454307
  199428     466    567387320
  199428     321    406410313
  199428     536    642647482
  199428     478    579807206
  199428     625    739379333
  199429     126    140800236
  199435     375    437336661
  199608     789    915338096
  199435     395    461150466
  199435     510    587608102
  199435     596    678242758
  199435     869    979428877
  199435     832    941729620
  199435     723    823712871
  199571     522    541139306
  199435    1353   1425013824
  199435    1124   1226273908
  199435    1164   1261959379
  199436      49     36010719
  199436     280    195609788
  199436     688    467870197
  199436     527    353016341
  199569      66     82635892
  199569     319    367209310
  199569     276    322578218
  199569     269    315449125
  199571     249    273696584
  199571     335    361511212
  199574      17     12880238
  199608     125    119294807
  199608    1455   1536459546
  199608     335    403126063
  199608     564    662760313
  199608     534    631439387
  199608     783    908507679
  199608    1226   1341451390
  199608    1268   1378476030
  199608    1377   1471972877
  199608     767    891289102
  199608     775    899663455
  199608    1010   1140935628
  199608    1032   1162015025
  199608    1080   1207210223
  199608    1107   1232507683
  199608    1628   1671850556
  199608    1771   1776305447
  199698      83     62875313
  199699     398    471001292
  199699      60     82399008
  200091     543    661859455
  199699      30     41807924
  199699     554    649047998
  199699     387    457761467
  199699     467    552189359
  199699     335    403734852
  199699     485    572164810
  199699     708    810205665
  199699     750    851569413
  199703      13     12115217
  200381     100    174019172
  199703     381    330295254
  199703     208    187134494
  199703     255    227599459
  199751     112     33774633
  199752     167    210094692
  199752      19     25101899
  199752     311    374196031
  200600     633    823010265
  199752     130    166362045
  199752     183    229707554
  199752     158    199283790
  199752     160    201613047
  199753      15     15355451
  199754     145    165390547
  199754     579    589040567
  199754     158    179648620
  199754     160    180834978
  199754     883    835733567
  199754     411    435937169
  199754     835    799596015
  200519      42     64751761
  199754     986    911684544
  199754     902    850119510
  200075     522    622964380
  199804     258    291160448
  199804     134    119043131
  200075     159    152775131
  199804     178    182571701
  199804     219    239299730
  199804     561    642099119
  199804     270    306175160
  199804     588    676329185
  199804     517    596655600
  199804     526    605841517
  200229     169    183217910
  200229     107    108076086
  199812      99     72136533
  199812     161    165862734
  199812     134    125317949
  199833     465    539989434
  199812     395    471648438
  199812     443    527856745
  199812     419    500728673
  200245      56     65686964
  199812     620    718439131
  199812     715    828459758
  199864      58     86087379
  199832     227    279420913
  199832     229    282882042
  199834     778    577561680
  199834     523    370871962
  199832     263    323852680
  199834     221    166476413
  199833    1044   1127539859
  199833     719    818420303
  199833     150    188755489
  200178      37     60762361
  199833     555    642669774
  199833    1007   1095094459
  199833     645    740617395
  199833     937   1032083922
  199833     971   1062857630
  199834     377    275103397
  199834     377    274772577
  199834     581    407801869
  199834     380    276965979
  199864     450    567760399
  199834     754    554317402
  200519     144    216290002
  200473     147    101966407
  199862     134    144317077
  200473     194    169071040
  200473     882    936430482
  199864      48     71095668
  199864     117    168020251
  199864     363    474478091
  199864     298    398667809
  199864     407    522044292
  199867      98    100263145
  199867      94     95355741
  199867     182    195094203
  199875     294    380008201
  199867     140    147680770
  199867     318    341109049
  200244      53     86299759
  200244     265    388966605
  199875     220    277338826
  200244     433    594743880
  200473     682    738360785
  199876     116    141298141
  199876      79     97068559
  199876      80     98352518
  199876     196    232116331
  199876     292    334273442
  200473     856    912100015
  200473    1258   1251908816
  199877       6      6745846
  199877      15     16556882
  199877     552    558486561
  199877     833    788556064
  199877     869    815946043
  199877     417    435354671
  199877     370    390544625
  199877     331    352792428
  199877     437    454039948
  200525     955   1164843276
  199877     633    627792510
  199877     841    794684612
  199877     638    632598289
  199877     792    756960397
  199877     783    750289073
  200525     788    977230946
  200042     254    213975515
  200042     215    182517706
  200161      15     26396527
  199960     125    111900749
  199960     218    249989155
  200042      67     58175870
  199961     197    208877824
  199961     225    242519186
  199967      86     63536355
  200369      10     10118930
  200041     124    116923372
  200041     129    125614490
  200041     183    208477139
  200041     443    554714334
  200041     425    532829394
  200041     485    603968040
  200041     640    772642290
  200042      83     71897849
  200042     130    112293845
  200042     125    107560549
  200042     175    149601447
  200042     172    146828695
  200042     404    329136452
  200091     493    604691229
  200049     107     69493510
  200091     428    526814296
  200091     422    520410690
  200049     115     74520926
  200075     229    254193877
  200075     144    128401329
  200243      78     42814268
  200091     296    356621332
  200091     158    157567775
  200091     517    631703003
  200091     534    651488458
  200091    1054   1218099201
