#  RunNo  LumiNo        EvtNo
  202060      78     16073762
  202060     798    962424833
  202060     232    278451153
  202060     290    363780052
  202060     304    383094006
  202060     339    431399698
  202972     193    274890354
  202060     386    493233340
  202060     466    592917324
  202060     699    849531660
  202060     482    611962393
  202060     575    718966203
  202972     381    502792734
  202060     608    754772727
  202272      80     25744601
  202272      80     26998825
  202272    1003   1109029416
  202074      82     54013464
  202088     272    220678360
  202075     186    278567324
  202305     204    189725776
  202075      36     57758477
  202075     121    186525856
  202305      19     18174699
  202075     502    661666273
  202075     353    491247840
  202075     573    734651264
  202075     468    624123927
  202075     570    731619757
  202075     577    738041651
  202084     106     55432785
  202084     113     68204432
  202084     138    112067142
  202087      69     98688307
  202087     447    559147641
  202087     105    150065950
  202087     291    384509930
  202314     197    260530024
  202087     543    664176918
  202087     700    841181898
  202087     618    751988096
  202087     840    986349944
  203002     281    375919898
  202088      29     24076327
  202272     699    805561829
  202093     268    183627815
  202178     623    760060408
  202314     178    224832269
  202178     545    675290789
  202178     625    762023844
  202178     643    780549722
  202178     673    812414966
  202178    1287   1432381391
  202178     926   1094793898
  202178    1210   1365869435
  202178    1241   1392677492
  202178    1428   1548493270
  202178    1415   1538003218
  202178    1410   1533845803
  202478     181    197411564
  202209      58     91153341
  203002     352    476742430
  203002     346    468794574
  203002    1103   1337785807
  202237     775   1085884854
  202237     461    700633660
  202237     589    867174520
  203002     486    651488733
  202237     609    891814898
  202237     830   1146778781
  202237     764   1073058111
  202237     879   1198869453
  202237     997   1320978370
  202237    1076   1412384863
  202272     298    349165673
  202272     452    533744719
  202272     640    736229157
  202272     653    752191974
  202272     998   1104629184
  202272    1326   1392590579
  202299     104     84150885
  202299     125    120987692
  202299     144    154241481
  202299     118    108064210
  202299     328    458012795
  202299     477    663921891
  202299     229    303057710
  202299     244    328488970
  202305     194    180638188
  202314     187    240692362
  202328      75     65527100
  202504     814   1013281907
  202328     259    385505703
  202328     336    505124969
  202328     378    565905747
  202328     357    536031197
  202328     469    693907977
  202389     194    233208611
  203002     578    759863545
  202469     290    405014909
  202469     174    197363654
  202469     202    249764525
  202469     272    374080733
  202472      85    120915759
  202472      77    109558352
  202478     935    963755748
  202478     120    134203161
  202478     334    370013211
  202478     333    368416491
  202478     483    532206936
  202478     530    581190590
  202478     545    597013333
  202478     636    688052705
  202478     799    843260610
  202973      22     25526460
  202504     340    459632338
  202504     615    796590305
  202504    1167   1372433079
  202504    1695   1806193137
  202504    1142   1348714194
  202973      80     90767133
  202973     452    461022944
  202973     224    242307463
